final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100, 10:36      , 10:12       , 10:12       , 10:12       , 12:52       , 12:40        , 12:40        , 12:40
         99, 10:48      , 10:24       , 10:24       , 10:24       , 13:04       , 12:52        , 12:52        , 12:52
         98, 11:00      , 10:36       , 10:36       , 10:36       , 13:16       , 13:04        , 13:04        , 13:04
         97, 11:12      , 10:48       , 10:48       , 10:48       , 13:28       , 13:16        , 13:16        , 13:16
         96, 11:24      , 11:00       , 11:00       , 11:00       , 13:40       , 13:28        , 13:28        , 13:28
         95, 11:36      , 11:12       , 11:12       , 11:12       , 13:52       , 13:40        , 13:40        , 13:40
         94, 11:48      , 11:24       , 11:24       , 11:24       , 14:04       , 13:52        , 13:52        , 13:52
         93, 12:00      , 11:36       , 11:36       , 11:36       , 14:16       , 14:04        , 14:04        , 14:04
         92, 12:12      , 11:48       , 11:48       , 11:48       , 14:28       , 14:16        , 14:16        , 14:16
         91, 12:24      , 12:00       , 12:00       , 12:00       , 14:40       , 14:28        , 14:28        , 14:28
         90, 12:36      , 12:12       , 12:12       , 12:12       , 14:52       , 14:40        , 14:40        , 14:40
         89, 12:48      , 12:24       , 12:24       , 12:24       , 15:04       , 14:52        , 14:52        , 14:52
         88, 13:00      , 12:36       , 12:36       , 12:36       , 15:16       , 15:04        , 15:04        , 15:04
         87, 13:12      , 12:48       , 12:48       , 12:48       , 15:28       , 15:16        , 15:16        , 15:16
         86, 13:24      , 13:00       , 13:00       , 13:00       , 15:40       , 15:28        , 15:28        , 15:28
         85, 13:36      , 13:12       , 13:12       , 13:12       , 15:52       , 15:40        , 15:40        , 15:40
         84, 13:48      , 13:24       , 13:24       , 13:24       , 16:04       , 15:52        , 15:52        , 15:52
         83, 14:00      , 13:36       , 13:36       , 13:36       , 16:16       , 16:04        , 16:04        , 16:04
         82, 14:12      , 13:48       , 13:48       , 13:48       , 16:28       , 16:16        , 16:16        , 16:16
         81, 14:24      , 14:00       , 14:00       , 14:00       , 16:40       , 16:28        , 16:28        , 16:28
         80, 14:36      , 14:12       , 14:12       , 14:12       , 16:52       , 16:40        , 16:40        , 16:40
         79, 14:48      , 14:24       , 14:24       , 14:24       , 17:04       , 16:52        , 16:52        , 16:52
         78, 15:00      , 14:36       , 14:36       , 14:36       , 17:16       , 17:04        , 17:04        , 17:04
         77, 15:12      , 14:48       , 14:48       , 14:48       , 17:28       , 17:16        , 17:16        , 17:16
         76, 15:24      , 15:00       , 15:00       , 15:00       , 17:40       , 17:28        , 17:28        , 17:28
         75, 15:36      , 15:12       , 15:12       , 15:12       , 17:52       , 17:40        , 17:40        , 17:40
         74, 15:48      , 15:24       , 15:24       , 15:24       , 18:04       , 17:52        , 17:52        , 17:52
         73, 16:00      , 15:36       , 15:36       , 15:36       , 18:16       , 18:04        , 18:04        , 18:04
         72, 16:12      , 15:48       , 15:48       , 15:48       , 18:28       , 18:16        , 18:16        , 18:16
         71, 16:24      , 16:00       , 16:00       , 16:00       , 18:40       , 18:28        , 18:28        , 18:28
         70, 16:36      , 16:12       , 16:12       , 16:12       , 18:52       , 18:40        , 18:40        , 18:40
         69, 16:48      , 16:24       , 16:24       , 16:24       , 19:04       , 18:52        , 18:52        , 18:52
         68, 17:00      , 16:36       , 16:36       , 16:36       , 19:16       , 19:04        , 19:04        , 19:04
         67, 17:12      , 16:48       , 16:48       , 16:48       , 19:28       , 19:16        , 19:16        , 19:16
         66, 17:24      , 17:00       , 17:00       , 17:00       , 19:40       , 19:28        , 19:28        , 19:28
         65, 17:36      , 17:12       , 17:12       , 17:12       , 19:52       , 19:40        , 19:40        , 19:40
         64, 17:48      , 17:24       , 17:24       , 17:24       , 20:04       , 19:52        , 19:52        , 19:52
         63, 18:00      , 17:36       , 17:36       , 17:36       , 20:16       , 20:04        , 20:04        , 20:04
         62, 18:12      , 17:48       , 17:48       , 17:48       , 20:28       , 20:16        , 20:16        , 20:16
         61, 18:24      , 18:00       , 18:00       , 18:00       , 20:40       , 20:28        , 20:28        , 20:28
         60, 18:36      , 18:12       , 18:12       , 18:12       , 20:52       , 20:40        , 20:40        , 20:40
         59, 18:48      , 18:24       , 18:24       , 18:24       , 21:04       , 20:52        , 20:52        , 20:52
         58, 19:00      , 18:36       , 18:36       , 18:36       , 21:16       , 21:04        , 21:04        , 21:04
         57, 19:12      , 18:48       , 18:48       , 18:48       , 21:28       , 21:16        , 21:16        , 21:16
         56, 19:24      , 19:00       , 19:00       , 19:00       , 21:40       , 21:28        , 21:28        , 21:28
         55, 19:36      , 19:12       , 19:12       , 19:12       , 21:52       , 21:40        , 21:40        , 21:40
         54, 19:48      , 19:24       , 19:24       , 19:24       , 22:04       , 21:52        , 21:52        , 21:52
         53, 20:00      , 19:36       , 19:36       , 19:36       , 22:16       , 22:04        , 22:04        , 22:04
         52, 20:12      , 19:48       , 19:48       , 19:48       , 22:28       , 22:16        , 22:16        , 22:16
         51, 20:24      , 20:00       , 20:00       , 20:00       , 22:40       , 22:28        , 22:28        , 22:28
         50, 20:36      , 20:12       , 20:12       , 20:12       , 22:52       , 22:40        , 22:40        , 22:40
