final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100, 5:50       , 5:45        , 5:35        , 5:30        , 7:54        , 7:40         , 7:30         , 7:30
         99, 5:53       , 5:48        , 5:38        , 5:33        , 7:57        , 7:44         , 7:36         , 7:36
         98, 5:56       , 5:51        , 5:41        , 5:36        , 8:00        , 7:47         , 7:43         , 7:43
         97, 5:59       , 5:54        , 5:44        , 5:39        , 8:15        , 7:50         , 7:49         , 7:49
         96, 6:02       , 5:57        , 5:47        , 5:42        , 8:30        , 7:54         , 7:56         , 7:56
         95, 6:05       , 6:00        , 5:50        , 5:45        , 8:40        , 7:57         , 8:03         , 8:03
         94, 6:08       , 6:03        , 5:53        , 5:48        , 8:50        , 8:00         , 8:09         , 8:09
         93, 6:11       , 6:06        , 5:56        , 5:51        , 9:00        , 8:15         , 8:16         , 8:16
         92, 6:14       , 6:09        , 5:59        , 5:54        , 9:15        , 8:30         , 8:22         , 8:22
         91, 6:17       , 6:12        , 6:02        , 5:57        , 9:30        , 8:40         , 8:29         , 8:29
         90, 6:20       , 6:15        , 6:05        , 6:00        , 9:40        , 8:50         , 8:36         , 8:36
         89, 6:23       , 6:18        , 6:08        , 6:03        , 9:50        , 9:00         , 8:42         , 8:42
         88, 6:26       , 6:21        , 6:11        , 6:06        , 10:00       , 9:15         , 8:49         , 8:49
         87, 6:29       , 6:24        , 6:14        , 6:09        , 10:10       , 9:30         , 8:55         , 8:55
         86, 6:32       , 6:27        , 6:17        , 6:12        , 10:15       , 9:40         , 9:02         , 9:02
         85, 6:35       , 6:30        , 6:20        , 6:15        , 10:20       , 9:50         , 9:09         , 9:09
         84, 6:38       , 6:33        , 6:23        , 6:18        , 10:25       , 10:00        , 9:15         , 9:15
         83, 6:41       , 6:36        , 6:26        , 6:21        , 10:30       , 10:10        , 9:22         , 9:22
         82, 6:44       , 6:39        , 6:29        , 6:24        , 10:35       , 10:15        , 9:28         , 9:28
         81, 6:47       , 6:42        , 6:32        , 6:27        , 10:40       , 10:20        , 9:35         , 9:35
         80, 6:50       , 6:45        , 6:35        , 6:30        , 10:45       , 10:25        , 9:42         , 9:42
         79, 6:53       , 6:48        , 6:38        , 6:33        , 10:50       , 10:30        , 9:48         , 9:48
         78, 6:56       , 6:51        , 6:41        , 6:36        , 11:00       , 10:35        , 9:55         , 9:55
         77, 6:59       , 6:54        , 6:44        , 6:39        , 11:05       , 10:40        , 10:01        , 10:01
         76, 7:02       , 6:57        , 6:47        , 6:42        , 11:10       , 10:45        , 10:08        , 10:08
         75, 7:05       , 7:00        , 6:50        , 6:45        , 11:15       , 10:50        , 10:15        , 10:15
         74, 7:08       , 7:03        , 6:53        , 6:48        , 11:20       , 11:00        , 10:21        , 10:21
         73, 7:11       , 7:06        , 6:56        , 6:51        , 11:30       , 11:05        , 10:28        , 10:28
         72, 7:14       , 7:09        , 6:59        , 6:54        , 11:35       , 11:10        , 10:34        , 10:34
         71, 7:17       , 7:12        , 7:02        , 6:57        , 11:40       , 11:15        , 10:41        , 10:41
         70, 7:20       , 7:15        , 7:05        , 7:00        , 11:45       , 11:20        , 10:48        , 10:48
         69, 7:23       , 7:18        , 7:08        , 7:03        , 11:50       , 11:30        , 10:54        , 10:54
         68, 7:26       , 7:21        , 7:11        , 7:06        , 12:00       , 11:35        , 11:01        , 11:01
         67, 7:29       , 7:24        , 7:14        , 7:09        , 12:05       , 11:40        , 11:07        , 11:07
         66, 7:32       , 7:27        , 7:17        , 7:12        , 12:10       , 11:45        , 11:14        , 11:14
         65, 7:35       , 7:30        , 7:20        , 7:15        , 12:15       , 11:50        , 11:21        , 11:21
         64, 7:38       , 7:33        , 7:23        , 7:18        , 12:20       , 12:00        , 11:27        , 11:27
         63, 7:41       , 7:36        , 7:26        , 7:21        , 12:30       , 12:05        , 11:34        , 11:34
         62, 7:44       , 7:39        , 7:29        , 7:24        , 12:35       , 12:10        , 11:40        , 11:40
         61, 7:47       , 7:42        , 7:32        , 7:27        , 12:40       , 12:15        , 11:47        , 11:47
         60, 7:50       , 7:45        , 7:35        , 7:30        , 12:45       , 12:20        , 11:54        , 11:54
         59, 7:53       , 7:48        , 7:38        , 7:33        , 12:50       , 12:30        , 12:00        , 12:00
         58, 7:56       , 7:51        , 7:41        , 7:36        , 13:00       , 12:35        , 12:07        , 12:07
         57, 7:59       , 7:54        , 7:44        , 7:39        , 13:30       , 12:40        , 12:13        , 12:13
         56, 8:02       , 7:57        , 7:47        , 7:42        , 13:50       , 12:45        , 12:20        , 12:20
         55, 8:05       , 8:00        , 7:50        , 7:45        , 14:00       , 12:50        , 12:27        , 12:27
         54, 8:08       , 8:03        , 7:53        , 7:48        , 14:02       , 13:00        , 12:33        , 12:33
         53, 8:11       , 8:06        , 7:56        , 7:51        , 14:03       , 13:30        , 12:40        , 12:40
         52, 8:14       , 8:09        , 7:59        , 7:54        , 14:04       , 13:50        , 12:46        , 12:46
         51, 8:17       , 8:12        , 8:02        , 7:57        , 14:05       , 14:00        , 12:53        , 12:53
         50, 8:20       , 8:15        , 8:05        , 8:00        , 14:06       , 14:02        , 13:00        , 13:00
         49, 8:23       , 8:18        , 8:08        , 8:03        ,             ,              ,              , 
         48, 8:26       , 8:21        , 8:11        , 8:06        ,             ,              ,              , 
         47, 8:29       , 8:24        , 8:14        , 8:09        ,             ,              ,              , 
         46, 8:32       , 8:27        , 8:17        , 8:12        ,             ,              ,              , 
         45, 8:35       , 8:30        , 8:20        , 8:15        ,             ,              ,              , 
         44, 8:38       , 8:33        , 8:23        , 8:18        ,             ,              ,              , 
         43, 8:41       , 8:36        , 8:26        , 8:21        ,             ,              ,              , 
         42, 8:44       , 8:39        , 8:29        , 8:24        ,             ,              ,              , 
         41, 8:47       , 8:42        , 8:32        , 8:27        ,             ,              ,              , 
         40, 8:50       , 8:45        , 8:35        , 8:30        ,             ,              ,              , 
