final_score, boys_grade9, boys_grade10, boys_grade11, boys_grade12, girls_grade9, girls_grade10, girls_grade11, girls_grade12
        100, 3:50       , 3:45        , 3:40        , 3:30        , 4:50        , 4:40         , 4:30         , 4:20
         99, 3:52       , 3:47        , 3:42        , 3:32        , 4:53        , 4:43         , 4:33         , 4:22
         98, 3:54       , 3:49        , 3:44        , 3:34        , 4:57        , 4:46         , 4:36         , 4:25
         97, 3:56       , 3:51        , 3:46        , 3:36        , 5:01        , 4:50         , 4:39         , 4:27
         96, 3:58       , 3:53        , 3:48        , 3:38        , 5:05        , 4:53         , 4:42         , 4:30
         95, 4:00       , 3:55        , 3:50        , 3:40        , 5:09        , 4:57         , 4:45         , 4:33
         94, 4:02       , 3:57        , 3:52        , 3:42        , 5:12        , 5:00         , 4:48         , 4:35
         93, 4:04       , 3:59        , 3:54        , 3:44        , 5:16        , 5:03         , 4:51         , 4:38
         92, 4:06       , 4:01        , 3:56        , 3:46        , 5:20        , 5:07         , 4:54         , 4:40
         91, 4:08       , 4:03        , 3:58        , 3:48        , 5:24        , 5:10         , 4:57         , 4:43
         90, 4:10       , 4:05        , 4:00        , 3:50        , 5:28        , 5:14         , 5:00         , 4:46
         89, 4:12       , 4:07        , 4:02        , 3:52        , 5:31        , 5:17         , 5:03         , 4:48
         88, 4:14       , 4:09        , 4:04        , 3:54        , 5:35        , 5:20         , 5:06         , 4:51
         87, 4:16       , 4:11        , 4:06        , 3:56        , 5:39        , 5:24         , 5:09         , 4:53
         86, 4:18       , 4:13        , 4:08        , 3:58        , 5:43        , 5:27         , 5:12         , 4:56
         85, 4:20       , 4:15        , 4:10        , 4:00        , 5:47        , 5:31         , 5:15         , 4:59
         84, 4:22       , 4:17        , 4:12        , 4:02        , 5:50        , 5:34         , 5:18         , 5:01
         83, 4:24       , 4:19        , 4:14        , 4:04        , 5:54        , 5:37         , 5:21         , 5:04
         82, 4:26       , 4:21        , 4:16        , 4:06        , 5:58        , 5:41         , 5:24         , 5:06
         81, 4:28       , 4:23        , 4:18        , 4:08        , 6:02        , 5:44         , 5:27         , 5:09
         80, 4:30       , 4:25        , 4:20        , 4:10        , 6:06        , 5:48         , 5:30         , 5:12
         79, 4:32       , 4:27        , 4:22        , 4:12        , 6:09        , 5:51         , 5:33         , 5:14
         78, 4:34       , 4:29        , 4:24        , 4:14        , 6:13        , 5:54         , 5:36         , 5:17
         77, 4:36       , 4:31        , 4:26        , 4:16        , 6:17        , 5:58         , 5:39         , 5:19
         76, 4:38       , 4:33        , 4:28        , 4:18        , 6:21        , 6:01         , 5:42         , 5:22
         75, 4:40       , 4:35        , 4:30        , 4:20        , 6:25        , 6:05         , 5:45         , 5:25
         74, 4:42       , 4:37        , 4:32        , 4:22        , 6:28        , 6:08         , 5:48         , 5:27
         73, 4:44       , 4:39        , 4:34        , 4:24        , 6:32        , 6:11         , 5:51         , 5:30
         72, 4:46       , 4:41        , 4:36        , 4:26        , 6:36        , 6:15         , 5:54         , 5:32
         71, 4:48       , 4:43        , 4:38        , 4:28        , 6:40        , 6:18         , 5:57         , 5:35
         70, 4:50       , 4:45        , 4:40        , 4:30        , 6:44        , 6:22         , 6:00         , 5:38
         69, 4:52       , 4:47        , 4:42        , 4:32        , 6:47        , 6:25         , 6:03         , 5:40
         68, 4:54       , 4:49        , 4:44        , 4:34        , 6:51        , 6:28         , 6:06         , 5:43
